id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin when uploading .txt files,Attackers can execute directory traversal to upload malicious files to arbitrary locations,2023-07-17T20:15:13,6.5,MEDIUM,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
NVD:CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin when uploading .txt files,Attackers can execute directory traversal to upload malicious files to arbitrary locations,2023-07-17T20:15:13,6.5,MEDIUM,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
PRION:CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin when uploading .txt files,Attackers can execute directory traversal to upload malicious files to arbitrary locations,2023-07-17T20:15:00,4.0,,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
VULNRICHMENT:CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin when uploading .txt files,Attackers can execute directory traversal to upload malicious files to arbitrary locations,2023-07-17T00:00:00,0.0,NONE,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVELIST:CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin when uploading .txt files,Attackers can execute directory traversal to upload malicious files to arbitrary locations,2023-07-17T00:00:00,0.0,NONE,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2023-34488,NanoMQ 0.17.5 is vulnerable to heap-buffer-overflow in the conn_handler function of mqtt_parser.c when it processes malformed messages.,EMQX,CWE-122,Heap-based Buffer Overflow,Improper validation of malformed messages in conn_handler function,Potential arbitrary code execution or denial of service via heap corruption,2023-06-12T14:15:19,7.8,HIGH,vulners,nanomq 0175 is vulnerable to heapbufferoverflow in the conn_handler function of mqtt_parserc when it processes malformed messages,NanoMQ 0.17.5 is vulnerable to heap-buffer-overflow in the conn_handler function of mqtt_parser.c when it processes malformed messages.,Heap-based Buffer Overflow
OSV:CVE-2023-34494,NanoMQ 0.16.5 is vulnerable to heap-use-after-free in the nano_ctx_send function of nmq_mqtt.c.,EMQX,CWE-416,Use After Free,Improper handling of freed heap memory in nano_ctx_send function,Potential arbitrary code execution or system crash due to memory corruption,2023-06-12T14:15:19,7.5,HIGH,vulners,nanomq 0165 is vulnerable to heapuseafterfree in the nano_ctx_send function of nmq_mqttc,NanoMQ 0.16.5 is vulnerable to heap-use-after-free in the nano_ctx_send function of nmq_mqtt.c.,Use After Free
OSV:CVE-2023-34488,NanoMQ 0.17.5 is vulnerable to heap-buffer-overflow in the conn_handler function of mqtt_parser.c when it processes malformed messages.,EMQX,CWE-122,Heap-based Buffer Overflow,Improper validation of input message size in conn_handler function,"Arbitrary code execution, denial of service, or memory corruption via crafted messages",2023-06-12T14:15:19,7.8,HIGH,vulners,nanomq 0175 is vulnerable to heapbufferoverflow in the conn_handler function of mqtt_parserc when it processes malformed messages,NanoMQ 0.17.5 is vulnerable to heap-buffer-overflow in the conn_handler function of mqtt_parser.c when it processes malformed messages.,Heap-based Buffer Overflow
NVD:CVE-2024-44459,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,VerneMQ,CWE-770,Allocation of Resources Without Limits or Throttling,Improper memory management allowing excessive memory consumption,Denial of Service (DoS) due to memory exhaustion,2024-09-12T20:15:04,7.5,HIGH,vulners,a memory allocation issue in vernemq v201 allows attackers to cause a denial of service dos via excessive memory consumption,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,Allocation of Resources Without Limits or Throttling
CVE-2024-44459,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,VerneMQ,CWE-400,Uncontrolled Resource Consumption,Improper memory allocation handling leading to excessive memory consumption,Denial of Service (DoS) via memory exhaustion,2024-09-12T20:15:04,7.5,HIGH,vulners,a memory allocation issue in vernemq v201 allows attackers to cause a denial of service dos via excessive memory consumption,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,Uncontrolled Resource Consumption
OSV:CVE-2024-44459,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,VerneMQ,CWE-770,Allocation of Resources Without Limits or Throttling,Improper memory management allowing excessive memory consumption,Denial of Service (DoS) due to memory exhaustion,2024-09-12T20:15:04,7.5,HIGH,vulners,a memory allocation issue in vernemq v201 allows attackers to cause a denial of service dos via excessive memory consumption,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,Allocation of Resources Without Limits or Throttling
VULNRICHMENT:CVE-2024-44459,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,VerneMQ,CWE-770,Allocation of Resources Without Limits or Throttling,Improper memory management allowing excessive memory consumption,Denial of Service (DoS) due to memory exhaustion,2024-09-12T00:00:00,0.0,NONE,vulners,a memory allocation issue in vernemq v201 allows attackers to cause a denial of service dos via excessive memory consumption,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,Allocation of Resources Without Limits or Throttling
CVELIST:CVE-2024-44459,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,VerneMQ,CWE-770,Allocation of Resources Without Limits or Throttling,Improper memory management allowing excessive memory consumption,Denial of Service (DoS) due to memory exhaustion,2024-09-12T00:00:00,0.0,NONE,vulners,a memory allocation issue in vernemq v201 allows attackers to cause a denial of service dos via excessive memory consumption,A memory allocation issue in vernemq v2.0.1 allows attackers to cause a Denial of Service (DoS) via excessive memory consumption.,Allocation of Resources Without Limits or Throttling
OPENSUSE-SU-2021:1603-1,"An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   Update to 1.31.0 (go.d.plugin 0.29.0)

   The v1.31.0 release of Netdata comes with re-packaged and redesigned
   elements of the dashboard to help you focus on your ",VerneMQ,CWE-937,Using Components with Known Vulnerabilities,"Use of outdated components (e.g., go.d.plugin) with known vulnerabilities","Potential exploitation of known vulnerabilities leading to various security risks (e.g., RCE, information disclosure)",2021-12-20T00:00:00,5.8,,vulners,"an update that fixes four vulnerabilities is now available

description

   this update for netdata fixes the following issues

   update to 1310 godplugin 0290

   the v1310 release of netdata comes with repackaged and redesigned
   elements of the dashboard to help you focus on your ","An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   Update to 1.31.0 (go.d.plugin 0.29.0)

   The v1.31.0 release of Netdata comes with re-packaged and redesigned
   elements of the dashboard to help you focus on your ",Using Components with Known Vulnerabilities
CVE-2021-33175,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service due to application termination by the operating system,2021-06-08T15:15:07,7.5,HIGH,vulners,emq x broker versions prior to 428 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by the operat,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",Uncontrolled Resource Consumption
NVD:CVE-2021-33175,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service due to application termination by the operating system,2021-06-08T15:15:07,7.5,HIGH,vulners,emq x broker versions prior to 428 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by the operat,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",Uncontrolled Resource Consumption
OSV:CVE-2021-33176,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service due to application termination,2021-06-08T15:15:07,5.0,,vulners,vernemq mqtt broker versions prior to 1120 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by th,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",Uncontrolled Resource Consumption
NVD:CVE-2021-33176,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service via application termination due to memory exhaustion,2021-06-08T15:15:07,7.5,HIGH,vulners,vernemq mqtt broker versions prior to 1120 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by th,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",Uncontrolled Resource Consumption
CVE-2021-33176,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service via application termination due to memory exhaustion,2021-06-08T15:15:07,7.5,HIGH,vulners,vernemq mqtt broker versions prior to 1120 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by th,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",Uncontrolled Resource Consumption
PRION:CVE-2021-33176,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service via application termination due to memory exhaustion,2021-06-08T15:15:00,5.0,,vulners,vernemq mqtt broker versions prior to 1120 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by th,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",Uncontrolled Resource Consumption
PRION:CVE-2021-33175,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service due to application termination by the operating system,2021-06-08T15:15:00,5.0,,vulners,emq x broker versions prior to 428 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by the operat,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",Uncontrolled Resource Consumption
CVELIST:CVE-2021-33176,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service via application termination due to memory exhaustion,2021-06-08T14:31:23,0.0,NONE,vulners,vernemq mqtt broker versions prior to 1120 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by th,"VerneMQ MQTT Broker versions prior to 1.12.0 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by th",Uncontrolled Resource Consumption
CVELIST:CVE-2021-33175,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Handling of untrusted inputs leading to excessive memory consumption,Denial of Service due to application termination by the operating system,2021-06-08T14:31:16,0.0,NONE,vulners,emq x broker versions prior to 428 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs these inputs cause the message broker to consume large amounts of memory resulting in the application being terminated by the operat,"EMQ X Broker versions prior to 4.2.8 are vulnerable to a denial of service attack as a result of excessive memory consumption due to the handling of untrusted inputs. These inputs cause the message broker to consume large amounts of memory, resulting in the application being terminated by the operat",Uncontrolled Resource Consumption
OPENSUSE-2021-647.NASL,"This update for netdata fixes the following issues :

  - Update to 1.29.3 Release v1.29.3 is a patch release to     improve the stability of the Netdata Agent. We     discovered a bug that when proc.plugin attempts to     collect the operstate parameter for a virtual network     interface. If the c",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Improper handling of operstate parameter for virtual network interfaces by proc.plugin,Application instability or potential denial of service,2021-05-18T00:00:00,7.5,HIGH,vulners,"this update for netdata fixes the following issues 

   update to 1293 release v1293 is a patch release to     improve the stability of the netdata agent we     discovered a bug that when procplugin attempts to     collect the operstate parameter for a virtual network     interface if the c","This update for netdata fixes the following issues :

  - Update to 1.29.3 Release v1.29.3 is a patch release to     improve the stability of the Netdata Agent. We     discovered a bug that when proc.plugin attempts to     collect the operstate parameter for a virtual network     interface. If the c",Uncontrolled Resource Consumption
OPENSUSE-SU-2021:0730-1,"An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   - Update to 1.29.3 Release v1.29.3 is a patch release to improve the
     stability of the Netdata Agent. We discovered a bug that when
     proc.plugin attempts to c",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Bug in proc.plugin handling processes,Potential denial of service due to instability,2021-05-15T00:00:00,5.8,,vulners,"an update that fixes four vulnerabilities is now available

description

   this update for netdata fixes the following issues

    update to 1293 release v1293 is a patch release to improve the
     stability of the netdata agent we discovered a bug that when
     procplugin attempts to c","An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   - Update to 1.29.3 Release v1.29.3 is a patch release to improve the
     stability of the Netdata Agent. We discovered a bug that when
     proc.plugin attempts to c",Uncontrolled Resource Consumption
OPENSUSE-SU-2021:0647-1,"An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   - Update to 1.29.3 Release v1.29.3 is a patch release to improve the
     stability of the Netdata Agent. We discovered a bug that when
     proc.plugin attempts to c",VerneMQ,CWE-400,Uncontrolled Resource Consumption,Bug in proc.plugin handling processes,Potential denial of service due to instability,2021-05-01T00:00:00,5.8,,vulners,"an update that fixes four vulnerabilities is now available

description

   this update for netdata fixes the following issues

    update to 1293 release v1293 is a patch release to improve the
     stability of the netdata agent we discovered a bug that when
     procplugin attempts to c","An update that fixes four vulnerabilities is now available.

Description:

   This update for netdata fixes the following issues:

   - Update to 1.29.3 Release v1.29.3 is a patch release to improve the
     stability of the Netdata Agent. We discovered a bug that when
     proc.plugin attempts to c",Uncontrolled Resource Consumption
WOLFI:GHSA-QXP5-GWG8-XV66,"Vulnerabilities for packages: falco-exporter, ipfs, redis-operator, argocd-image-updater, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, jitsucom-bulker, syft, gcp-compute-persistent-disk-csi-driver, flux-source-controller, glow, ksops, gcsfuse, coredns, buildkitd, boring-registry",RabbitMQ,CWE-1105,Insufficient Maintenance of Security Vulnerabilities,Lack of timely updates/patches for known vulnerabilities,Exploitation of unpatched vulnerabilities leading to system compromise,2025-03-12T22:06:40,0.0,NONE,vulners,vulnerabilities for packages falcoexporter ipfs redisoperator argocdimageupdater rabbitmqclusteroperator k8ssandraclient trustmanager zarf jitsucombulker syft gcpcomputepersistentdiskcsidriver fluxsourcecontroller glow ksops gcsfuse coredns buildkitd boringregistry,"Vulnerabilities for packages: falco-exporter, ipfs, redis-operator, argocd-image-updater, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, jitsucom-bulker, syft, gcp-compute-persistent-disk-csi-driver, flux-source-controller, glow, ksops, gcsfuse, coredns, buildkitd, boring-registry",Insufficient Maintenance of Security Vulnerabilities
CHAINGUARD:GHSA-QXP5-GWG8-XV66,"Vulnerabilities for packages: aws-application-networking-k8s, glab, jaeger-operator, tigera-operator, harbor-fips, kbld, addon-resizer, cfssl-fips, sftpgo-plugin-kms, flux-kustomize-controller, hugo-extended, istio, dex-fips, hey, hcloud, kyverno-policy-reporter, kube-logging-logging-operator, gitla",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Outdated or insecure dependencies in listed packages,Exploitation of known vulnerabilities leading to system compromise or data exposure,2025-03-12T22:06:40,0.0,NONE,vulners,vulnerabilities for packages awsapplicationnetworkingk8s glab jaegeroperator tigeraoperator harborfips kbld addonresizer cfsslfips sftpgopluginkms fluxkustomizecontroller hugoextended istio dexfips hey hcloud kyvernopolicyreporter kubeloggingloggingoperator gitla,"Vulnerabilities for packages: aws-application-networking-k8s, glab, jaeger-operator, tigera-operator, harbor-fips, kbld, addon-resizer, cfssl-fips, sftpgo-plugin-kms, flux-kustomize-controller, hugo-extended, istio, dex-fips, hey, hcloud, kyverno-policy-reporter, kube-logging-logging-operator, gitla",Using Components with Known Vulnerabilities
CHAINGUARD:CVE-2025-22870,"Vulnerabilities for packages: aws-application-networking-k8s, glab, jaeger-operator, tigera-operator, harbor-fips, kbld, addon-resizer, cfssl-fips, sftpgo-plugin-kms, flux-kustomize-controller, hugo-extended, istio, dex-fips, hey, hcloud, kyverno-policy-reporter, kube-logging-logging-operator, gitla",RabbitMQ,CWE-937,Using Components with Known Vulnerabilities,Outdated or insecure dependencies in listed packages,Exploitation of known vulnerabilities leading to system compromise or data exposure,2025-03-12T19:15:38,0.0,NONE,vulners,vulnerabilities for packages awsapplicationnetworkingk8s glab jaegeroperator tigeraoperator harborfips kbld addonresizer cfsslfips sftpgopluginkms fluxkustomizecontroller hugoextended istio dexfips hey hcloud kyvernopolicyreporter kubeloggingloggingoperator gitla,"Vulnerabilities for packages: aws-application-networking-k8s, glab, jaeger-operator, tigera-operator, harbor-fips, kbld, addon-resizer, cfssl-fips, sftpgo-plugin-kms, flux-kustomize-controller, hugo-extended, istio, dex-fips, hey, hcloud, kyverno-policy-reporter, kube-logging-logging-operator, gitla",Using Components with Known Vulnerabilities
WOLFI:CVE-2025-22870,"Vulnerabilities for packages: falco-exporter, ipfs, redis-operator, argocd-image-updater, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, jitsucom-bulker, syft, gcp-compute-persistent-disk-csi-driver, flux-source-controller, glow, ksops, gcsfuse, coredns, buildkitd, boring-registry",RabbitMQ,CWE-1105,Insufficient Maintenance of Security Vulnerabilities,Lack of timely updates/patches for known vulnerabilities,Exploitation of unpatched vulnerabilities leading to system compromise,2025-03-12T19:15:38,0.0,NONE,vulners,vulnerabilities for packages falcoexporter ipfs redisoperator argocdimageupdater rabbitmqclusteroperator k8ssandraclient trustmanager zarf jitsucombulker syft gcpcomputepersistentdiskcsidriver fluxsourcecontroller glow ksops gcsfuse coredns buildkitd boringregistry,"Vulnerabilities for packages: falco-exporter, ipfs, redis-operator, argocd-image-updater, rabbitmq-cluster-operator, k8ssandra-client, trust-manager, zarf, jitsucom-bulker, syft, gcp-compute-persistent-disk-csi-driver, flux-source-controller, glow, ksops, gcsfuse, coredns, buildkitd, boring-registry",Insufficient Maintenance of Security Vulnerabilities
CVE-2025-27636,"Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",RabbitMQ,CWE-20,Improper Input Validation,Improper handling of inputs in Apache Camel components under specific conditions,"Allows attackers to bypass security controls or inject malicious code, leading to unauthorized access or system compromise",2025-03-09T13:15:34,5.6,MEDIUM,vulners,"bypassinjection vulnerability in apache camel components under particular conditions

this issue affects apache camel from 4100 through  4101 from 480 through  484 from 3100 through  3223

users are recommended to upgrade to version 4102 for 410x lts 485 for 48x lts ","Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",Improper Input Validation
NVD:CVE-2025-27636,"Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",RabbitMQ,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Improper input validation in Apache Camel components under specific conditions,Potential for attackers to execute arbitrary code or bypass security mechanisms,2025-03-09T13:15:34,5.6,MEDIUM,vulners,"bypassinjection vulnerability in apache camel components under particular conditions

this issue affects apache camel from 4100 through  4101 from 480 through  484 from 3100 through  3223

users are recommended to upgrade to version 4102 for 410x lts 485 for 48x lts ","Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
VULNRICHMENT:CVE-2025-27636,"Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",RabbitMQ,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Improper input validation in Apache Camel components under specific conditions,Potential for attackers to execute arbitrary code or bypass security mechanisms,2025-03-09T12:09:58,0.0,NONE,vulners,"bypassinjection vulnerability in apache camel components under particular conditions

this issue affects apache camel from 4100 through  4101 from 480 through  484 from 3100 through  3223

users are recommended to upgrade to version 4102 for 410x lts 485 for 48x lts ","Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVELIST:CVE-2025-27636,"Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",RabbitMQ,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Improper input validation in Apache Camel components under specific conditions,Potential for attackers to execute arbitrary code or bypass security mechanisms,2025-03-09T12:09:58,0.0,NONE,vulners,"bypassinjection vulnerability in apache camel components under particular conditions

this issue affects apache camel from 4100 through  4101 from 480 through  484 from 3100 through  3223

users are recommended to upgrade to version 4102 for 410x lts 485 for 48x lts ","Bypass/Injection vulnerability in Apache Camel components under particular conditions.

This issue affects Apache Camel: from 4.10.0 through <= 4.10.1, from 4.8.0 through <= 4.8.4, from 3.10.0 through <= 3.22.3.

Users are recommended to upgrade to version 4.10.2 for 4.10.x LTS, 4.8.5 for 4.8.x LTS ",Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
